content,rating,predict_rating
" 节奏好慢！没有旁白感觉就没有电影。。。
        ",0,0
" 。。。。。。
        ",0,0
" 反派大钢牙。
        ",0,1
" 不是所有的老动画都是经典呀，这部电影远不如同名的的图画书精彩。
        ",0,2
" 从头干到尾+从头喊到尾=头疼
        ",0,0
" 朦胧的镜头 无高潮的剧情 看得我巨捉急 软妹不爱封闭式悬疑惊悚片啊！
        ",0,0
" 哪有人那么幸运能像男主获得上帝的偏爱，为男二不值罢了。
        ",0,1
" 这是多古老的电影啊。。。不过形象还是满经典的
        ",0,2
" 剧本有点，导演差
        ",0,0
" 不是我喜欢的风格，刻意将几个故事放一起穿插起来，总让我在看其中一个故事情绪正上来的时候跳脱到另一个故事，感动戛然而止真TM难受。
                
                
",0,0
" 不舒服
        ",0,0
" 小时候看的，，，现在回想起来这他娘是什么玩意啊！！！
        ",0,0
" 幸好是最后一部了
        ",0,0
" 浪费了Urban Legend这么好的素材，电影还能拍的再烂点，再三俗点吗？电影唯一的亮点就是各种UL了，别的一无是处。
        ",0,0
" 恶趣味的技术宅注定Forever Alone
        ",0,0
" 还行,笑点不多,巧合多得很牵强.. 嘛 剧情需要.
        ",0,0
" 4个钟头的片搞毛啊
        ",0,0
" 旁白能不能闭嘴
        ",0,0
" 161大晚上的播了，不过不停的把露点片段毛玻璃化，干嘛啊，别放哒。。。
        ",0,0
" 俗套
        ",0,0
" 这书跟克苏鲁神话啥关系
        ",0,0
" 原来这个片子由两个动画片组成：hulk vs thor以及hulk vs Wolverine；咱也看一回动漫。前者没啥剧情，只有一阵接一阵的兽吼，然后，完了；后者比较有剧情：hulk被loki带到仙宫，并被用咒语和banner分离，几乎打死thor，几乎毁掉asgard，banner死掉，灵魂被收
        ",0,0
" b i n g o
        ",0,2
" 和小狮子在上影，看不懂
        ",0,1
" 这也太无趣了吧。。。
        ",0,0
" 也就只有美人可以看看了。性格很单调，情节也突兀。
        ",0,0
" 没了spock和enterprice还看个鬼
        ",0,0
" 花满楼你去哪里了瓦
        ",0,2
" 这演技还能再差点吗？难不成真是porn啊？！
        ",0,0
" 阿哲还是去唱歌吧
        ",0,0
" 觉得苏菲玛索的身体很好看。。。脸很好看。。。故事讲什么就不知道了
        ",0,2
" 导演，你是没钱做剪辑么？！导演，你是想拍电视剧么？！导演，你是想当作家么？！导演，你老婆喊你回家吃药！两星只给欧文和尼可的脸！
        ",0,0
" 粗糙的
        ",0,0
" 无趣无爆点内容空洞不能更多
        ",0,0
" YY也分三六九等的 20130602@小蒸
        ",0,0
" 不喜欢这种片子，平面化，跟这个年代的网络恶搞视频差不多。可思考的无非只是意识形态层面。米兰昆德拉说过：任何一种以清账（清意识形态的帐）为目的的艺术形式必将遭美学上的灭顶之灾。虽不是真理，但这在这里比较受用。
        ",0,1
" 陈嘉上的烂片风格从这个时候就奠定了，浪费了吴彦祖不说，得了金马奖的吴镇宇也提高不了电影的档次。看海报我还以为是科幻片。
        ",0,0
" 猎奇的视点，猎奇的影像，猎奇的形象。看完唯一的印象就只剩下那两张扭曲的脸。
        ",0,0
" 儿童科幻片
        ",0,0
" 一部让人看不懂的电影，不是好电影。
        ",0,0
" 前面好烂啊，给结尾勉强1颗星吧 就算是意外结局 也觉得好烂啊~男女也都不好看= =。画面又一直黑在那里 不爽这种片子。
        ",0,0
" 花瓶没演技就算了，剧情还那么弱。看在攻长得还不错的份上。
        ",0,0
" 如果说受电影时长所限不得已删减掉原著很多内容的话，那所有演员的表演也都太敷衍了事了！并且对情节的大幅更改也完全削弱了原著对社会问题思考的深度和广度。最后莫名的结局以及那配乐算什么鬼啊!!
        ",0,2
" 如此多的好演员，演出了一部如此不知所云的舞台剧风格电影，这个行为本身算得上是一场实验吧。。。
        ",0,0
" 一下午够无聊的。看了三部电影
        ",0,0
" 很差
        ",0,0
" 我该说什么呢
        ",0,0
" 节奏太慢，实在是看不下去~~
        ",0,0
" 何以成这样
        ",0,0
" ………………
        ",0,0
" 星际迷航第三部（1984年）。上一部的坑挖得有点大，代价就是全片都在做修补。
        ",0,0
" 不行，没有情节的片子已经看不下去了
        ",0,0
" 爆米花片
        ",0,0
" 女反派那么容易就被摆平啦？
        ",0,0
" 1、原著的视角和思考深度值得说道，无话语权下，沉默便是抗争。2、梅尔维尔片中主角都有德国思想家马克斯·韦伯所言的‘道德自建’成份，其电影中的法式血统几不可见(有意思的是这部电影就是讲述二战时法德间的故事)。3、不要忽视电影是一种独特的表现形式，展示深度，忽略手法，就是失败，就是烂片
        ",0,0
" 没劲。假！
        ",0,0
" 情节有点混乱
        ",0,1
" 为黄鼠狼正名了
        ",0,1
" 完全只因The Cure而看。电影本身实在是太弱了，花了太多篇幅表现男主与Alice的纠缠，忽略了另一边与女主的感情发展，铺垫不够，最后的改变就太突然。
        ",0,0
" 牌子是怎么放进去的呢
        ",0,0
" 老实和尚的感觉也不对
        ",0,1
" 没第一部好看！
        ",0,1
" 小时候。。。
        ",0,1
" 极尽俗套 跟甜蜜蜜差了不是一点半点 没情操的导演真是十头牛都莫法救 但不管在甜蜜蜜还是这部片子，张曼玉一直无法对着黎明有安心的笑
        ",0,0
" 恐怖你妹
        ",0,0
" 小时候挺喜欢
        ",0,1
" 无聊乏味罗嗦
        ",0,0
" 不来电。。。加美剧熟脸各种出戏。。。
        ",0,0
" 呃 无聊
        ",0,0
" 点点点
        ",0,0
" 迪亚兹的颧骨…笑起来真像两瓣屁股…一星给国王一星给教授。
        ",0,0
" 我是真的不直答最后他选择了什么。
        ",0,1
" 配音实在太倒胃口
        ",0,0
" 太普通。
        ",0,0
" 画面拍的跟剧情AV似的
        ",0,0
" 真的不好看
        ",0,0
" 小田切让和麻生久美子这是要成为官配的节奏吗
        ",0,0
" 我吻技比你們兩個都高超...
        ",0,2
" 不太好看嘛...
        ",0,0
" 黑人广播员南方公园看多了
        ",0,0
" 好狗血。
                
                
",0,0
" 这叫电影？
        ",0,0
" 泡菜国导演对这类极度变态杀人题材乐此不疲，如《盲》《杀人回忆》《看见恶魔》
        ",0,1
" 这口音听的我蛋疼。剧情真是烂到家。
        ",0,0
" 为什么我看的想吐，毫无美感，难道因为索德伯格品味太差？
        ",0,0
" 真是部要什么没什么的片子
        ",0,0
" 浪费时间,忍着看完了
        ",0,0
" I knew it the minute I saw Cameron Crowe's name. Cameron Crowe SUCKS. That song was original for Rosanna Arquette, and that's the only cute part though. Well, all else, what a shitty story.
        ",0,2
" 不搞笑，不够恶俗。仅此而已。
        ",0,0
" BIK KEMBERGS
        ",0,0
" 劇本七零八落，但視覺上來說可能真的稱得上60年代邵氏片廠的典範。深焦，遠景，寬銀幕構圖，仰角、俯角，簾幕、窗櫺等物件構成的空間層次。前半段怎麼頻頻用溶轉場… 《埃及豔后》那段是啥，肉體戰勝律法… 重複的庭院場景。
        ",0,1
" 这是给哪个年龄阶层的人看的？
        ",0,0
" 有一个啊算一个，全tmd是大傻逼！洗脑神曲！
        ",0,0
" 真替腐朽堕落的西方资本主义捉急啊！
        ",0,0
" 冲着朱莉首次露胸来的，她真的是每一面都美。。我是脑残粉
        ",0,0
" 铺垫略多，一般平庸吧
        ",0,1
" 这。。。最近是什么节奏=  =
        ",0,0
" 好恶。
        ",0,0
" 呵呵
        ",0,0
" 强大卡司 dr.house vs queen b,难以摆脱烂片的元素。
it just made no sense.
        ",0,0
" 什么玩意！！
        ",0,0
" 不新鲜，蒂姆·罗宾斯这打扮挺像比尔盖茨的
        ",0,0
" 似乎要说什么，可最后什么也没说，音乐不错。
        ",0,1
" 三个大牌居然都是酱油！！剧情也狗血，真看不出这算是什么作品
        ",0,0
" 浓浓媚俗情调的耍酷，无来由且生硬。闷骚杀手，孤寂女警，无间恶人，这么多nice的素材，一个也没展开，失败的紧！
        ",0,0
" 神经病。。。
        ",0,0
